"","X","Name","Date","Network","Text"
"639",639,"Tucker Carlson Tonight","February 17, 2022","","you may have asked yourself when will joe biden ever stop talking about russia will very soon, actually . in fact, he seems toe be losing his train of thought right now. but don't worry, he'll be back to it. russia is a very comfortable topic for joe biden.ta he enjoys talking about it much more than talking about, say, inflation or crime or fentanyl deaths or about how halff the population of haiti appearsa to be showing up in floridath in leaky boats. thoseos stories may interest yoy since you live thi in this cound but not joe biden. despite appearances, biden doesn't actually live here in his head . joe b joe biden is floating high above the sea azoff swoopingso in over southeastern ukraine like a botox superhero just to make sure everything's okay with his little buddies. the ukrainians joe biden to protect her that way. but he's also at the same time a scholarr and a teacher, not a credentialed educator like the doctor he's married to. joe biden didn't go too community college in delaware for a doctorate in diversity studies. he's justty a civilian. but biden can still lecture with the best of him. if you signed for his info to russia is bad class c this semester, you will not be"
"682",682,"Tucker Carlson Tonight","January 31, 2022","","prejudice and replace it with equity. we are going to spread democracy to the untutored nations with guns, they are going to love us for it. we can do all these things because we are all powerful. we are like gods. you should have no gods before us. mostly they are puny people but when they speak, they sound like caesar. standing in purple robes in the forum commanding the known world. joe biden very often sounds like this. so does that squeaky little woman with the weird teeth that runs new zealand. they all sound like this. they are on believably grandiose. it's by design. they'd rather talk about redeeming humanity that bother to figure -- fix your kids to school or place a stop sign. so you've got to wonder why debate talk this way? the answer of course is because they are terrified. they claim to be powerful because they know they're not. it's a bluff. they know exactly how weak they are. they understand how little popular support they actually have. they can feel their grasp slipping. if you wonder if that's true,"
"713",713,"Tucker Carlson Tonight","January 24, 2022","","our borders are racist, shut up, putin stooge. but wait a second, why is it disloyal to side with russia but loyal to side with ukraine? they're both foreign countries that don't care anything about the united states. kind of strange. it's all that absurd performance but it's all they've got any hand. the fact is ukraine is strategically irrelevant to the united states, no rational person could defend a war with russia over ukraine. of nobody thinks a war like that would make america safer or stronger or more prosperous. if you take a look at our economy recently, dangerous levels of inflation, it workforce in disarray, wildly chaotic swings in financial markets if you haven't noticed. joining a conflict in each in europe fix any of that? of course not. it'll make it worse. if the neocons aren't restrained, and soon, americans are going to be a lot poorer. so why are they doing this? that's a complex question. hubris, stupidity, the damage psychological makeup of our leaders, massive lobbying"
"753",753,"Tucker Carlson Tonight","March 22, 2022","","right. are they really failing to accomplish any of their objectives? right. so the initial campaign objective was to oust the government of zelenskyy to have him killed or flee and put in a puppet that failed within the first twenty four hours. and so what we're seeing now is the russian command grappling with the fact that their initial campaign failed. they need to reboot. they need to come up with a different plan. and so what they're doing in the meantime is just destroying as much of ukraine as they can thinking that perhaps that'll enhance their position at the bargaining table. i don't think that's going to work. what we need to be on the lookout for is a long war and in about eight to nine weeks the character of this war is going to change because that's when things start to dry up and you start to have better cross-country mobility throughout ukraine around the end of may, the beginning of june. so one of the things i'm concerned about is is president vladimir putin's"
"796",796,"Tucker Carlson Tonight","September 22, 2022","","western economy, including our economy. russian energy fuels europe. a recession in germany was certain to lead to a recession here. in  the months since it has, a bad one. the longer this war goes on inevitably the poorer everyone is going to be, with the exception of probably vladimir putin. we are breaking things that are hard to rebuild. again, this was very obvious the first day of the war. you weren't allowed to say it at the time. anyone who did was denounced as a russian spy. still clearly true. and the ukrainians clearly understood it. back in april, negotiators from the governments of russia and ukraine met secretly and, quote, appeared to tentatively agree on a settlement to end the war. the terms of the deal were simple. russia would withdraw troops from ukraine, ukraine would promise not to join nato. each side would get the thing that it   wants most. simple and effective. it might have worked."
"801",801,"Tucker Carlson Tonight","February 14, 2022","","willing to spout the putin line, sign up for his wish list, break up nato, do whatever he wants to do, and that you continue to get help from him because he has a very clear favorite in this race. >> tucker: so if you're not all in with nato, if you think it's dangerous to the united states you, my friend, work for vladamir putin. you encouraged espionage, shrieked hillary, just as he was doing that. she was speaking about a specific quote cyber attack. she was talking about the russians hacking the servers at the dnc. democrats wasted three years of our lives telling us that in ever increasing volume. here's the interesting thing. it was not true. it has never been true. vladamir putin did not hack the"
"802",802,"Tucker Carlson Tonight","March 18, 2022","","russia continues ramping up in the last week. the u.n. believes 6 million people have been displaced. stay for the latest on the war in ukraine. i'm kevin cork in washington. now back to more tucker carlson tonight. >> tucker carlson: most americans deeply sympathize with the people of ukraine. they got invaded. who wouldn't sympathize with them. so, our congress and our executive branch who have been busy shovelling armaments to the government of ukraine. again, no one is questioning anyone's motives here. but if you're going to accelerate a conflict in eastern europe, you have to wonder what the consequences might be. what would it mean if the united states was sucked into a war with russia. one of the questions we asked to congresswoman ria salazar of florida. she's the one who refused to rule out a no-fly zone in"
"810",810,"Tucker Carlson Tonight","February 11, 2022","","guarantee it? which begs the question of why are we in this position then? if the answer to this and preventing this war from happening is very clear as day. and really, it just points to one conclusion that i can see witches, they actually want to russia to invade ukraine. why would they? because number one, it gives the biden administration a clear excuse to go and levy draconian sanctions, modern day siege against russia and the russian people. and number two, it's the months this cold war and place. the military industrial complex is one of the benefits from this. they clearly control the biden administration, warmongers on both sides of washington drumming up that tensions. if they get russia to invade ukraine, then again, it locks in this new cold war. the military-industrial complex starts to make a ton more money than they have been in fighting al qaeda or making weapons for"
"837",837,"Tucker Carlson Tonight","March 28, 2022","","get aggressive with these negotiations that are certain to begin and are that are set to begin again in istanbul in a couple of hours. i think that's the best case for ukraine to keep their troops from getting really bad beating here. >> i think it's getting really serious. lieutenant colonel daniel davis, always so interesting to talk to you, sir. thank you for your service to our country and your service tonight to our viewers. lieutenant colonel, thank you so much. thank you very much. compelling conversation indeed, jonathan. thank you . meantime, the u.s. has been delivering everything from stinger anti-aircraft systems to small arms ammunition to ukraine. now the pentagon is actually sounding the alarm saying they need more money to replenish their very own supplies. more details on that as we continue. high prices at the pump boosting wages war in the ukraine. russia threatens to cut oil"
"838",838,"Tucker Carlson Tonight","March 28, 2022","","informed of the soldiers that they would soon be sent to ukraine. watch this. >> look how they are stepping up. look how they step up. you are going to see when you there, you are going to see women, young people standing up in the middle in front of a dang tank saying, i'm not leaving, i'm holding my ground. >> the previous president was often criticized, some time with justification for not using words. you can't just tweet out anything. that's the case you heard for four years. it was often rooted in truth. the last president never said anything that even approaches the recklessness of what you just heard. you are going to see, where in ukraine, they are born is going to deep. they had no idea, netted their families, neither did anyone in united states until joe biden set it live."
"842",842,"Tucker Carlson Tonight","October 24, 2022","","admittedly pretty smart strategists who figure out what the issues are in the democratic party so misjudge this one? they forgot that not everyone in america is as miserable as they are. in fact, there are still plenty of people in this country, believe it or not, who have happy marriages. there's still people who love their kids and their grandchildren. still people consider babies a blessing, not just an obstacle to better vacation. now some of those people, maybe a lot of those people, might consider themselves, quote, pro-choice, but they're hardly abortion. they don't think abortion is a positive good. it's not. they don't consider it liberation. they definitely don't see abortion as janet yellen recently claimed as the answer to our national economic problem. she said that. so here's how it works. janet yellen gets rich giving speeches to the companies she regulates. that's corruption, but never charged. she's still free. in fact, she's the treasury"
"852",852,"Tucker Carlson Tonight","May 16, 2022","FOX News","where we sort of paused and let the sadness sink in and remember we're all united by our ultimate deaths, which we are. it makes us equal as people.pe that time hasop evaporated. it's's instant now and i wonder what that says about our leaders. i was really amazed at not justd the rapidity with which this coordinated messaging campaignis emerged to try and blame this network , butolitical opponents also just how unanimous it was, particularly sinceti the only thing that was knowno about the person who carried out this massacre was a one hundred and eighty one page very i densely written manifesto that he said had a wide range of kind of unrelated ideas.de he called himself a left wing authoritarian, on the one hand a fascist. on the other hand , thereiton io way these people could have taken the time to have read that to have learned about their mental hout ea health of this person. they didn't care what the facts were. they say saw an opportunityn in those corpses laying on the ground and nowou opportunity was political and"
"853",853,"Tucker Carlson Tonight","March 31, 2022","","capital city. pentagon says russian forces have doubled their amount of airstrikes across ukraine in recent days even as peace talks are set to resume virtually just hours from now. president biden says he's working to lower your gas prices by tapping into the nation's strategic petroleum reserve and once again blaming vladimir putin and greedy oil companies but not his administration or policy for why experts doubt the move to release a million barrels a day will actually do much to ease your pain at the pump. senate minority leader mitch mcconnell weighs in exclusively with us tonight . a newly surfaced video from a different angle of the infamous anchor last seen around the world. what it shows jada pinkett smith doing immediately after her husband left for the rock. but we begin tonight , day 37 of russia's war on ukraine with my co-host griff jenkins reporting live on friday morning. now there in las vegas. shannon, good morning. and listen, there is more evidence that russia is doing just the opposite of what they're saying."
"870",870,"Tucker Carlson Tonight","April 11, 2022","","this is the gun. it's not hard to put together. hand drill at home. doesn't take very long. anyone can order it in the mail. anyone. >> tucker: just be clear, there is no such thing as a ghost gone. it's made up phrase of anyone you see on television or print repeating that phrase as a propagandist working on behalf of the forces of oppression, the biden administration. flat out. you also need a license to drive a car but that doesn't mean if you order a new fuel injector online that you need a license for that too. this is an effort to disarm people who don't vote for the democrats, period. brian collector is a former army ranger and joins us tonight. how many ghost guns do you have? >> [laughs] i don't want to tell you. >> tucker: fair, fair!"
"875",875,"Tucker Carlson Tonight","March 9, 2022","","they are calling on weapons inspectors to take a look at the facilities in ukraine right away. >> over the past two decades, the united states has been blocking the establishment of a verification regime to the biological weapons convention and refused to inflict the inspection of biological facilities within and outside its orders. the move has further aggravated the concern of the international community. we once again urge the u.s. to provide full clarification of its bio militarization activities within and outside its borders and accept multilateral verification. >> tucker: they are putting russian and chinese propaganda on the screen. yes, we do. that was u.s. government propaganda on the screen. and the differences we expect to be lied to by foreign governments. we are not globalist. we believe in one country, the united states. we do not expect to be lied to by our government and we won't accept it."
"903",903,"Tucker Carlson Tonight","February 22, 2022","","thank you, trace gallagher. time for some text, global new jersey, a nonpolitical question. your hair is never out of place. what gel or mousse do you use? that is a trade secret. i can't tell you. tucker carlson is up next and remember i am jesse watters, and this is my world. ♪ ♪ >> tucker: good evening and welcome to tucker carlson tonight. since the day donald trump became president, democrats in washington told you a pay truck duty to vladimir putin. it is not a suggestion but a mandate, and treason, many americans have obeyed this directive with vladimir putin and maybe you are one of them. he is the central purpose of policies, the main man that we"
"911",911,"Tucker Carlson Tonight","March 15, 2022","","the prime minister of poland, the czech republic and slovenia all traveled to the capital to stand alongside president zelenskyy of ukraine in a very conspicuous show of unity and to send a very strong message to the president, to the people of ukraine and perhaps most of all to the russians that europe stands with ukraine. listen here. this invasion has to stop the blood on the streets. your mothers, your children wives are safe. but those who are killed by putin, they can never be forgotten and they are not forgotten. now shortly before the prime ministers arrived in kyiv that were again russian strikes on the city, some of those hitting residential apartment buildings, we are told by ukrainian officials that at least a dozen civilians were"
"912",912,"Tucker Carlson Tonight","January 20, 2022","","to determine who comes into your country and when. that'sr the word from kamala harris. ry athe flung open bordersn activist. so how should putin handle this ? well, putin had a better imagination apparently. doesn't he paint the russian tanks now massed on the ukrainian border with the slogan no person is illegalu . kamalala harris stated that on what grounds would she tell russians who just want a better life with their families in ukraine that they can't come to ukrainelili? if the russians just quoted emma lazarus, kamala harristhem who have to back off and support them and their voting rights in ukraine, but unfortunately for them, the russians are just too literal for this when a we invac a country, just go ahead and call it an invasion. but you still have to wonder invasion or not, why is any of this a profound concern ofld ours? why would you even consider risking american lives or sending billions of dollars toti stop it? there are multiple borders, wars underway around the world, multiple justr w on the continet of africa right now. >> there always have been manyn. are dying in those wars and yet"
"961",961,"Tucker Carlson Tonight","March 17, 2022","","now that title 42 is ending."" so the way it grows, the total transformation of this country accelerates. we've been very passive in the face of this, people make grumpy noises about it. nobody has done anything. how should we respond? the same way we respond to any other invasion, with the u.s. military. that's why countries have militaries, to stop invasions, and this would not be a hard invasion to stop. our military could seal the border with mexico in days. that would save american lives, it would restore order and it would end the invasion. does that sound crazy? like a misuse of the u.s. military? keep in mind that nancy pelosi called in the u.s. military to protect her from trump voters at the u.s. capitol. she treated our soldiers like her personal security detail. and then of course at this very moment we are sending thousands of american troops and billions in american military hardware to eastern europe to help the ukrainians restore their"
"967",967,"Tucker Carlson Tonight","February 22, 2022","","opportunismec from putin. and it's not whether it's not just kind of plain rhetoric like you can say something without consequences butou too often happens in here in the united states. this has real consequences r and people are going to dieea because of this . >> they're goingil to die.uc so your job is to take up arms in defense of alexander vindman home country or else you're evil. you have of blood on your hands and that's effectively our policy. , you'veexander vindman got a compelling argument we'rea in what's is going to costil us to defend the country you were born it well, in fact, joe biden addressednt that question today. defending freedom will have j cost for us here at home. bidenoeon said we need to be hoe about it really. biden went on to outlinest what he called the pain off our sanctions. watch reimplement for blocking sanctions on two large russian financial institutions, vehbi and our military backed implementing comprehensive sanctions on russia'sta soverein"
"986",986,"Tucker Carlson Tonight","April 18, 2022","","god bless you all. >> ♪ ♪ >> [applauding]. >> tucker: shaking imaginary hands. the white house in spring of 2022, joe biden is not running it. they don't care if you can afford dinner out with your kids or in the war with russia causes the destruction of a population. they carry about theoriys and not reality. improving the life of americans doesn'terate on their scale of concerns. -- doesn't rate. they have been in charge for a while and that's sustainable as long as everyone is getting a check and has enough money. the second the economy turns south the calculation changes"
"988",988,"Tucker Carlson Tonight","October 3, 2022","","and will instantly upgrade your order with an extra long stainless hose and a low reach wall bracket ideal for children and seniors. yours absolutely free plus will ship your entire order free. you get it all an incredible value for one low price call. or go online to buy aqua care .com corner. >> now. >> good evening and welcome to tucker carlson tonight. so the question of who blew up russia's energy pipelines to europe, which is not just a question in the news, it'sques a historical question.tione adda couple address already, it's we've addressed it a couple ofoy times already. >> it's not really much of.g a question anymore. yoon television. they're assuring you that obviously the russians did it. vladimir putin sabotaged hisn pi own pipelines with his nation, i at war.n intentiona putin intentionally destroyed russia'sdestro most vital natiol"
"989",989,"Tucker Carlson Tonight","October 3, 2022","","a collective effort that would take out every russian renshonn conventional force that we cane see and identify on the battlefield. black sea. and every ship on the black sea . >> so that's reassuring. nuclear >> so russia launches nuclear weapons. >> we'll just sink their ships. really, david petraeus, really think it'll end there? >> that would be the first use e of a nuclear weapon in almost 80 years since nineteen forty five . bu you thinkt you think you'd bw contain the inevitable chain reaction with the conventionh s. responsible to sink their ships? >> the problem, apparently, david petraeus does think that. and keep in mind in washington ,david petraeus is regarded as a genius . >> and b.y local standards, he a ever in authority, everyone with aalg megaphone, everyone with actual power is thinking and talking just like david petraeus. >> no problem. mid the daily beast, which is the"
"994",994,"Tucker Carlson Tonight","February 15, 2022","","remarkable story. 70%. joins us after this . hunter biden is the most protected person in the country . he was given rights and say the jobs well beyond his credential. but just as the founding, you really can't find any business venture that is not revolve around his father's political power. tens of millions from the ukraine, china and washington entities, hunter is barely functional human, a roaring sex addiction obsessively videotaping every aspect of his life sussmann you"
"1011",1011,"Tucker Carlson Tonight","February 14, 2022","","the dnc. there was never any evidence that the russians hacked the dnc. instead, the dnc emails werec. very clearly stolen from within the building, most likely by a bernie sanders supporter who wanted to show the world of bernie sanders is being shafted by the very same corrupt forces in washington that later supported donald trump. that was very obvious to anyone who's paying attention at the time. what's interesting is that no one's been punished for itly likely no one ever will be. in fact, jake sullivan, the guya you just saw lying about those non partisan computer scientists has not been indicted for what he did jakesrt sullivan has been promoted. jake sullivan is now joe biden's national securityvas advisor. he's still screaming aboutcr russia only this time it's not to bring down a republican opponent in the presidential race. he's screaming about a russia to bring the entire country to war with the nuclear armed power. so this story is not going away. lee smith has watched itt unfolo for more than five years. he's the author of the terrific book the plot against the president. he joinsh, us tonight. we smith, thanks so much for"
"1032",1032,"Tucker Carlson Tonight","August 29, 2022","","coming months. germany's year ahead price of electricity that's he ben the benchmark for all ofch europe. it's measured in euros per megawatt hou for. excee >> that price just exceededor t a thousand euros for the first time in history. he ffor perspective just a weekt last monda ay, the cost was abot 700 euros per megawatt hourer and that was a record. in other words, the price rise is approaching 50% in a single week in france, electricity wee. went up 25% in one day. that was last friday. imagine that happening to you. o >> here's what europe looksok like tonight in europe. it's lights out at major monuments and tourist attractions. there's a long, hot summerhat of gives way tofi what officials worry could be a bitterly coldbe winter. skyrocketing energy prices haveg put europe on a war footiny g with russia as the enemy that they didn't get believe we are in what can be described as a hybrid war, said french president emmanuel macron. russia uses energy resources like it does food as a warses re weapon to exert pressureso. food"
"1047",1047,"Tucker Carlson Tonight","February 23, 2022","","defining words accurately because they matter in this country. if you subvert the meaning of a word as fundamental as ""democracy,"" maybe you can tamper with the way we live here in the united  states, just spit falling for a second. so ukraine, to be technical, is not a democracy. democracies don't arrest political opponents and they don't shutdown opposition media, both of which ukraine has done. and by the way, ukraine -- again, that's fine. we are not mad about that, go ahead and run ukraine if you think you can do a better job   than ukraine is, just don't tell us it's democracy. but as long as the core goal of american foreign policy is to defend democracy and oppose anyone who is not running a democracy, you've got to kind of wonder -- and this may be occurring to these countries -- what about our friends in jordan, qatar, saudi arabia? what about at least 50 countries"
"1058",1058,"Tucker Carlson Tonight","January 21, 2022","","virginia. npr went to the scene to provid reckless moment to moment coverage of this controversy. if you're a transgender woman you can apply if you're a trans man, no, but if you transition to male after you get to hollins , you can stay. that's an important shift. for-20-19 if you you had to transfer out, finally, if you'r non- binary, hollen says no, your application will not be accepted. to be admitted, you have to quote consistently live and identify as a woman. that's messed up says the sophomore who is gender queer. >> transgender women are welcom transgender men are not very they seem to be excluded to. this, not surprisingly is a gender community quite upset."
"1067",1067,"Tucker Carlson Tonight","January 28, 2022","",""
"1085",1085,"Tucker Carlson Tonight","March 11, 2022","","each is a crisis and each newcrisis is managed in silicon valley. how does the human brain compete with us? it doesn't. clarity and perspective become impossible. in the hysteria, even the recent past just evaporates. the morning that russia invaded ukraine, you may have been talking about a lot of different things. covid, crime, southern border. not anymore. much to the relief of the white house, all of those topics have been forgotten, may be forever. no population has ever been more skillfully manipulated than our population is being manipulated right now. but even with the tech monopolies on the case full-time, there are limits. some topics cannot be hidden. inflation is one of them. google can delete all the search results it wants, but you still know what hamburger and gasoline cost, because you go to the store. you know exactly how bad inflation is. and it is bad. inflect, it's so high right now that even affluent people are"
"1127",1127,"Tucker Carlson Tonight","March 4, 2022","","start killing russians. how much of this is putin going to let before he starts interdicting these arms and weapons coming in and maybe kills western military people? you see there are so many things that could go sideways and we just have to make sure we don't even come close to that line because expanding would be the worst. >> lieutenant colonel daniel davis. thank you for highlighting those issues and helping us understand the truth that americans should be making decisions for their future. next guest just returned from ukraine. walk across the moldovan border and hitchhiked to romania. he is the founder and special operations pilot and he joins us now. thank you for being with us. we heard we are discussing with us with the train leaving the station where they are, you are in a war zone. the question is what you saw. does a call for american intervention."
"1128",1128,"Tucker Carlson Tonight","March 4, 2022","","maps. >> this is a map that if you looked a couple days past and forward, doesn't change that much but that does not change the calculus of the russians who have to deal with even more sanctions, how they will deal with that is interesting. they are calling for reinforcements from as far as the pacific ocean. our border almost with them in alaska. you've gotten reports tonight the potentially additional weapons are coming in. antitank, antiaircraft weapons on behalf of the ukrainians. dynamics are always changing but ultimately the russians continue to make gains. they are bogged down in kyiv but the air strikes continue across the country. let me move forward to the next map which is pertinent to some other things that you talked about, it's so important, it is the fog of war. do our best to break down facts from fiction about what's actually happening. you have specific flash points which are important."
"1130",1130,"Tucker Carlson Tonight","June 15, 2022","","not a science guy blaming a pickup truck for extreme weather. these are not people who are speaking in good faith, they're not trying to solve problems, they are not even interested in what actually happened. they are lying, they are unscrew bills, and they will say anything if they think it will make them more powerful so best to ignore them. on the other hand, and this is also true, over time it is possible to draw legitimate connections between decisions that politicians make in the catastrophes that follow. the rising gas prices for example, the rising gas in america now qualifies as a catastrophe. it's true no matter how you feel about carbon emissions, you still assume you were afford to be able to drive to work or take a vacation with your kids the summer or buy my dinner in a restaurant once in a while. but now you can't, and gas prices are the reason you can't. nothing makes the country poor faster than rising energy prices. so how did this happen? well, we are going to let you decide. we are going to play you a tape from a campaign event during the last presidential primaries in new hampshire. this video was shot in 2019 at a moment when not a single person"
"1167",1167,"Tucker Carlson Tonight","April 28, 2022","","system. >> tucker: so we reached out to dhs law enforcement agency with speech about her plan to censor you from what is true. and they assured us that folks like human smuggling and rush of on ukraine. and suddenly you learn about the border for russia or ukraine. it is your job. you are an adult and can read it whenever you want. but of course it's not about that anyway, if you read nina jankowicz's book she was hired to police domestic use. i have hoped we could change the norms by which online ecosystem is governed, she wrote and typically, this is those tht cannot write english. later in the book she encourages women in law enforcement if they see something they don't like on twitter, she called that an important step in the denormalization of women's treatment. it is hard to believe our system produces people like this. she is an illiterate fascist. in another book, she made it clear she is not in"
"1182",1182,"Tucker Carlson Tonight","March 14, 2022","","indeed, by mentioning nato, a topic that is completely off-limits in american media, zelenskyy may have gone too far. daily, in every possible venue, we are told that nato is, paradoxically, both of central importance to the united states that at the same time irrelevant to what happens in eastern europe. if so years of talk about expanding nato into ukraine, and we watched those happen in public, that has nothing whatsoever to do with russia invading ukraine. nothing at all. that's what they tell us. putin invaded ukraine because he's bad, end of conversation. and anyone who says otherwise, anyone who suggests there might be a way out of this disaster short of total war, anyone who says that is immediately denounced as a tool of russian propaganda. so what does that mean? it means that by acknowledging that nato expansion is what putin seems to care about most, zelenskyy is by definition, at least in this country, repeating russian talking points."
"1195",1195,"Tucker Carlson Tonight","April 11, 2022","","eleven million people simultaneously. the citizens juhan were confined by government ordered to their apartments and those who tried to leave sometimes found themselves welded inside, some of them starved to death. authorities in hazmat suits dragged screaming citizens to vans and then drove them to internment camps watching s as you could barely believe it, china seemed to have gone insane moving from authoritarian to dystopian in a single day. so this was the world's, introduction to covid-19 a virus we later aru learned the chinese government itself helped create looking back , it all seems like a bad dream. covid panic is now ended. the virusco no longer constituts a public health crisis in this . any other country and it's clear in retrospect the government lockdown's whatever their motives in the end hurt farfa more people than covid itself did. the the much touted vaccines, meanwhile, provided nowhere ea the protection the drug t companies had promised and at the same time came with significantnt risksee that even now have not been openly discussed."
"1196",1196,"Tucker Carlson Tonight","April 11, 2022","","my king size regular eighty nine ninety eight now just thirty four ninety eight. so go to mypillow .com now and use the promo code on your screen or call the one 800 number below to receive this exclusive offer. if you do it right now i'm going to include a freell gift with your purchase. thank you and god bless you. nt have a life insurance policy you no longer need now you can sell your policy even a termal policy for immediate cash payment. we we had planned carefully forn our retirement but we quickly realized we neededsu a way to supplement our income. if you add one hundred thousand dollars or more of life insurance you may qualify to sell your policy. don't cancel or let your policy lapse without finding outin what it's worth . is it coventry direct .com to find out of your policy qualify or call 1-800- five one five four one zero zero daventry direct redefining insurance for the four eight fie"
"1198",1198,"Tucker Carlson Tonight","March 16, 2022","","presented in a long time. it has one of the strongest border security measures in a history of the united states congress. >> tucker: got it. but it -- >> wait a minute, wait a minute, amnesty is what we have now, tucker. amnesty is when you have more than 13 million illegals -- listen to me -- without paying for schools, for roads, or for hospitals. i am giving them dignity so they can start paying and taken -- -- >> tucker: the talking points here. >> we are not getting deep. >> tucker: people who came over our border without permission are not being -- very different standard to ukraine. i'm wondering if russians fleeing putin -- do you believe -- should be allowed to start new -- start new and better lives in ukraine? to believe in ukrainian nationalism but not american? >> i want to be rigorous."
"1202",1202,"Tucker Carlson Tonight","January 21, 2022","","kind of just dip your toes in and you see how you feel about it and then you god further. >> hisese my name is ed miller.> i use them pronouns. well of course you miller that's why you're on npr. so you may remember rod blagojevich was governor of illinois until 2009. then hewi was sent to prison for 14 years in jail.. he he's aa democrat. he's was pretty liberal. you probably thought well, he deserved it. probably know much aboutut rod blagojevich if you don't live in the state at the very end of the trump administration, the former president commuter's his sentence. so we thought we'd sit down and talk to rod blagojevich a on a brand new episode of tucker carlson today. what a farcend. nothing interesting. smart guy. one of the questions we asked is how did you get through all those years in prison? and he answered his wife and hes called having the lou gehrig approach to life. >> listen. i i remember hearing from somebody that you didn't have"
"1209",1209,"Tucker Carlson Tonight","May 10, 2022","","$100,000 price on the ""wheel of fortune."" to the same thing happen when your show debuted. i think that show might be rigged. you know it, i think you are right. i think that vanna is running scared. that's all for tonight, ""tucker carlson tonight"" is up next. and just remember that i am watters, and this is ""my world."" ♪ ♪ >> tucker: good evening, welcome to ""tucker carlson tonight,"" if you are the white house press secretary and thank god you are not. he would have two tasks every day. you have to learn the president's views on what is happening in the world so you can repeat them and then you have to try to remember the names of those weird looking people sitting in the holding chairs in the briefing room. so it's not an easy job, but it's not a very rewarding one either. not making policy or decisions, you are repeating the party"
"1210",1210,"Tucker Carlson Tonight","March 25, 2022","","war with russia is a very big thing. to embark against most americans. most americans cannot support a hot war with russia with american troops putting their lives on the line. the biden administration is blocking media coverage, we don't actually know what that was. and we probably should find out. one of the most effective ways to change the way the people in charge behave is by making fun of them. particularly if you do it skillfully. alec stein is a comedian in texas. he figured out how to do this. he started showing up at city council meetings and doing things like this. watch. >> will you join ukraine's foreign legion? we are going to train you, you don't even need training. we are going to teach you. as a matter of fact, we would prefer if you didn't have training. >> tucker: [laughs] alec stein, the men in that video, joins us next."
"1261",1261,"Tucker Carlson Tonight","January 24, 2022","","n evening and welcome to tucker carlson . tonight when permanent washington pushes for war with russiangto, who benefits? we don't ask that questionue enough. the united states certainly doesn't benefit. that's obvious to anyone who thinks about it for a second. it's so glaringly obvious. in fact, the people pushing this war immediately denounce you as a traitor. ifhat you point that out, they'e betraying our country's's interest. but somehow you're the one who's disloyal. ukraine's borders areislo sacre"
"1295",1295,"Tucker Carlson Tonight","October 13, 2022","","for his criticalir economic needs. we have critical economic needs to buddy. who are you? trolcriticall go way.conomi what?c'o since when does that guy have a claim on our treasury?is >> so this is the job of people like sandy cortez to remindlike us again to break the spell of hypnosis. the u.s. congress is under. we don't owe this guy anything . now, one thing. , good luck, pal.al that's and as our economy degrades and our border is gone, that guy's lecturing us with some christmas list like i want this, that and is want a bicycle, too. you better send it quick. really up yours, buddy. and at the same time dragging us the entire west toward nuclear war, telling us we have to nuke russia. cortwhat is sandy cortez is she affirms it. she's not a progressive. she's a stealthy neocon operative. affirmsthe entire leadership of the so-called progressive movementlthy neo is that they'r totally and utterly corrupt. t all ofis the one the left putg"
"1296",1296,"Tucker Carlson Tonight","October 13, 2022","","more cash. at the very moment, our own economy and our own borders are collapsing. >> watch at this time, we have v two key financial needs offinana the country that's thirty eight billion dollars to make up for the deficit of our budget for next year and other seventeen billionn tht dollars that were verified by the world bank and needed to rebuild the critical infrastructure. we need also targeted credits in the amount of two billion dollars to rebuild the electric energy infrastructure after the destruction and to expand our exports to europe. we need credit limits to purchase gas and coal for the future heating season. the scope of this year's support should be not less than five billion dollars. >> what some of money foreigner t-sh t shirt demanding money"
"1325",1325,"Tucker Carlson Tonight","May 5, 2022","","know? because wars tend to escalate and wars that are existential from one side in which the leader of the country feels he may die if he loses ten to escalate very quickly. obviously. seth moulton is not worried, it is just important we win, he tells us. we, who is we? and important to whom, exactly? is there anyone outside washington who wants a real war with nuclear arms russia? who exactly is seth moulton talking about when he says we? we were wondering and then we watched biden yesterday, he traveled to alabama and michigan mike visited the only constituency in america that longs for war with nuclear arms russia and that would be his donors. he toured a lockheed martin plant and as he did biden posted we are sending so many weapons to ukraine that mothers in the united states are naming their children after lockheed martin's missile systems. watch. >> when we build weapons and equipment to help defend freedom and sovereignty in europe years ago, that's true again today,"
"1326",1326,"Tucker Carlson Tonight","June 15, 2022","","old or there's a serious infection at the club may of developing serious infections and may cause existing parasitic skin infestationsve ir preexisting cancers towards new neoplasia were served in clinical studiestter to prove the most common side effects oft vomiting and diarrhea and better. i'm speechless. thanks for the africa. well, that'sst f a friend. ask your veterinarian for adequate nrcc view as well as a dog's best friend. >> i welcome this , tucker carlson said. there's one rule we try to follow. you probably should distrust any body who draws quick and dirty partisan conclusions in the hours after a national disaster. you see this happen all the time. people on tv for example, telling you the gun lobby is somehow responsible for the latest school shooting even as the ambulances are still arriving or how climate change caused those tornadoes at a trailer park in indiana,"
"1404",1404,"Tucker Carlson Tonight","July 13, 2022","","who is winning? ukrainian oligarchs. since january, the biden administration since about $8 billion justin -- just in so-called security. defense contractors were making this, and that's what they did in this lobby. but, you have to ask, once we send these weapons to ukraine, where do they go? no one knows where they go. no one is keeping track. biden administration officials have admitted that to ""the wall street journal."" this is handed to the ukrainian government. officials said they had little to no   knowledge of where that was going they -- the ukrainian government for such information."
