"","X","Name","Date","Source","Text"
"1176",1176,"Anderson Cooper 360","October 7, 2022","Comcast Cable","allergy spray. now without a prescription. astepro and go.   when president biden and vladimir putin and over a fundraiser last night, he suggested putin might do that because his military is significantly underperforming. the washington post reported the battlefield losses have triggered dissension inside the kremlin. a member of vladimir putin's inner circle has voiced disagreement directly to the russian president over his handling the war in ukraine according to information obtained by us intelligence. the post greg miller joins us now is a long cit's operation steve hall. can you tell us what you learned about this russian official confronted putin, or the russian person? >> as you know, we did not"
"1185",1185,"Anderson Cooper 360","February 7, 2022","Comcast Cable","these folks don't have time to go to the post office they use stamps.com all the services of the post office only cheaper get a 4-week trial plus postage and a digital scale go to stamps.com/try and never go to the post office again.   good evening. as increased numbers of russian troops gather near the ukrainian border and key world leaders met today to ward off a possible invasion, president biden and"
"1196",1196,"Anderson Cooper 360","March 7, 2022","Comcast Cable","photojournalist of who took the video of what it looked like before the shell landed. he's going to join us shortly to talk about it. the new video shows the urgency of the moment as the ukrainian soldier tries to hurry evacuees through an exposed stretch of road leading out of the area. [ speaking foreign language ]"
"1215",1215,"Anderson Cooper 360","February 22, 2022","Comcast Cable","putin think gives him the right to declare new so-called countries on territory that belonged to his neighbors? this is a flagrant violation of international law and it demands a firm response from the international community. we're implementing full blocking sanctions on two large russian financial institutions. veb and their military bank. we're implementing comprehensive sanctions on their sovereign debt. starting tomorrow and continuing in the days ahead, we'll also impose sanctions on russia's elites can their family members. they share in the corrupt games of the kremlin policies and should share in the pain as well. >> senior administration official elaborated telling cnn, quote, this is the beginning of an invasion, and therefore, this is the beginning of our response. secretary of state blinken appearing alongside ukraine's foreign minister said thursday's meeting with his russian counterpart is off. he cancelled a meeting with"
"1217",1217,"Anderson Cooper 360","March 11, 2022","Comcast Cable","you can protect yourself from shingles with a vaccine proven to be over 90% effective. shingrix is a vaccine used to prevent shingles in adults 50 years and older. shingrix does not protect everyone and is not for those with severe allergic reactions to its ingredients or to a previous dose. an increased risk of guillain-barré syndrome was observed after getting shingrix. fainting can also happen. the most common side effects are pain, redness, and swelling at the injection site, muscle pain, tiredness, headache, shivering, fever, and upset stomach. ask your pharmacist or doctor about shingrix. shingles doesn't care. but you should."
"1243",1243,"Anderson Cooper 360","April 26, 2022","Comcast Cable","continuation of negotiations, we encountered a provocation in the village of bucha, to which the russian army has nothing to do. >> so that's a lie. and it's clearly a lie, and what is so insulting about it, especially to the families of the victims, is that there is clear evidence, as well as eyewitness accounts, satellite images as well. now, remember what we just showed you at the top, those images or most of them were taken by one individual on the street where those people were killed and the camera that took them has been handed over to prosecutors, to war crimes prosecutors, and that can be examined for its data to tell the exact date the photos were taken on, that those photos were taken over the course of several days, march, 5th, 6th and 7th and it actually shows a progression of killings over the course of several days. remember the satellite videos"
"1249",1249,"Anderson Cooper 360","April 6, 2022","Comcast Cable","have completely withdrawn from areas around kyiv and chernhihiv. drone video today taken march 7th. a car apparently taken fire from a nearby russian tank position stops. you see the driver getting out, raise his hands above his head, and then was shot dead. man's wife was also killed inside the vehicle. new drone video as well tonight about the extensive network of trenches russian troops dug to the north of kyiv, specifically and horrifyingly in the radioactive soil near the chernobyl power plant site of the world's worst nuclear disaster. six weeks into the war russian forces still do not control mariupol in the southeast."
"1271",1271,"Anderson Cooper 360","February 11, 2022","Comcast Cable","john berman here, in for anderson. and those words could begin at any time, nor are they gospel. it is vital not to get ahead of the hard facts on this. that said, the language from national security adviser jake sullivan reflects the administration's assessment of new intelligence about growing russian strength on the ground. we will get into that shortly with our military and intelligence experts. we will also bring you all the developments since jake sullivan's warning, and there have been quite a few. first, though, more of what he told reporters about how quickly the administration now believes russia could move. >> i will not comment on the details of our intelligence information. but i do want to be clear. it could begin during the olympics, despite a lot of speculation that it would only happen after the olympics. >> so, you now believe that russia has all the forces it needs to mount a full-scale invasion of ukraine? >> what i am saying is that russia has all the forces it needs to conduct a"
"1288",1288,"Anderson Cooper 360","March 9, 2022","Comcast Cable","genocide of ukrainians is taking place. children's hospital, maternity ward? why were they a threat to russian federation? what kind of country is russian federation that is afraid of hospitals? afraid of maternity wards and destroys them? >> after the attack, russia's ambassador to france blamed ukrainian nationalists for in his words, quote, bombing civilian institutions. russia, he said -- these are his words, quote, cares about every human life. prior to the bombing, the spokeswoman for russia's foreign ministry accused ukrainian nationalists of setting up combat positions in the hospital. saying that there were no patients there, no hospital staff. it should be pointed out the practice of putting military in hospitals is not unknown in the world. i want to show you photographs that are important to see, even if they are tough to take."
"1289",1289,"Anderson Cooper 360","March 9, 2022","Comcast Cable","the ukrainians have been talking about the no-fly zone. i heard you and others, general hertling, talking about that planes may not be the greatest source of their concern of attacks from the sky, that it's really artillery, mortar, it's missile fire. is that correct? >> absolutely. if you take a look at the amount of destruction that has been done up to this point, that is not being done, as you saw in the last clip, with a couple of bombs coming off antic aircraft. that's fire from rockets and missiles and artillery pieces that are effectively con dducti a barrage of the towns. >> how far away would that be? you are not talking about mortar fire up close. is this long range? >> it can be anywhere from about 20 kilometers, which are -- they"
"1294",1294,"Anderson Cooper 360","September 23, 2022","Comcast Cable","there, the symptoms can last for years. just like concussion some people recover right away, others take a long time. >> it's going to be incredible and of course your special report on sunday. thanks very much. and don't miss the special report e""immaculate concussion, the truth behind havana syndrome"" this sunday at 8:00 p.m.   thank you for joining us ac 360 starts now.   good evening. we begin tonight with a large part of florida under a state of emergency. the storm system that does not even have a name yet but is heading straight at florida and could be a major hurricane if and when it arrives. je jennifer is tracking this storm. when, jennifer, can florida expect to start to feel the effects of this? >> well, they'll start to feel the impact as early as monday night into tuesday if you're in the keys, but then it's going to basically parallel the coast before making landfall somewhere along that western coast of"
"1300",1300,"Anderson Cooper 360","April 27, 2022","Comcast Cable","border. explosions in kirsk and a town to the east. an adviser to president zelenskyy said, quote, karma is a cruel thing. separately, in the russian-held city in kherson -- >> that blast reportedly near the city's main television broadcasting facility. there's a lot to get to tonight. ukrainian press quoting russian media saying russian channels went off the air shortly after. also tonight, a sad coda to the already tragic story of have aer will ya, the new mother who said she had found such joy in the birth of her daughter. today in odesa, a funeral ceremony was held for valeria, for her 3-month-old daughter keira, and keira's grandmother, who were killed along with five others just over this weekend."
"1303",1303,"Anderson Cooper 360","March 14, 2022","Comcast Cable","if you have chronic kidney disease your kidney health could depend on what you do today. ♪far-xi-ga♪ farxiga is a pill that works in the kidneys to help slow the progression of chronic kidney disease. farxiga can cause serious side effects including dehydration, urinary tract or genital yeast infections in women and men, and low blood sugar. ketoacidosis is a serious side effect that may lead to death. a rare, life-threatening bacterial infection in the skin of the perineum could occur. stop taking farxiga and call your doctor right away if you have symptoms of this bacterial infection, an allergic reaction, or ketoacidosis. and don't take it if you are on dialysis. take aim at chronic kidney disease by talking to your doctor and asking about farxiga. if you can't afford your medication, astrazeneca may be able to help. ♪far-xi-ga♪ when traders tell us how to make thinkorswim® even better, we listen. like jack. he wanted a streamlined version he could access anywhere, no download necessary."
"1310",1310,"Anderson Cooper 360","January 24, 2022","Comcast Cable","democrats and republicans, pretty cleanly, that most democrats want to have legislation to bolster what the administration is doing. to say if the russians invade ukraine, these sanctions are approved by congress. but the republicans want to do is say we want the sanctions in place now. we want to do them preemptively. don't wait until vladimir putin attacks ukraine in any way -- any way, shape, or form. that is the split. and there was a discussion among four senior democrats, four senior republicans on the senate foreign relations committee to try to work that out but you heard the senate foreign relations chairman, bob menendez who is trying to write this language say that they are going to write the mother of all sanctions legislation against russia. >> clarissa, i am wondering what the reaction has been in ukraine to the moves by the u.s. over the last 24 hours? >> well, it's interesting, anderson. you know, ukraine was very upset last week that they thought"
"1326",1326,"Anderson Cooper 360","April 26, 2022","Comcast Cable","t rocket science. kitchen? sorted. hot tub, why not? and of course, puppy-friendly. we don't like to say perfect, but it's pretty perfect. booking.com, booking.yeah. my patients, i often see them have teeth sensitivity as well as gum issues. does it worry me? absolutely. they are both very much hand in hand, so you should really be focusing on both, and definitely at the same time. sensodyne sensitivity & gum gives us a dual action effect that really takes care of both our teeth sensitivity as well as our gum issues. by brushing with sensodyne sensitivity & gum at home, it's giving you the relief that you need and the control that you need to take care of your oral health. and it creates a healthier environment. there's no question it's something that i would recommend. we all have heroes in our lives. someone who cares about other people and gives of themselves. to help others, who can't always help themselves. those are true heroes. and for a kid like me, who's had 13 operations, and can now walk, you"
"1327",1327,"Anderson Cooper 360","April 26, 2022","Comcast Cable","messaging, spokesperson for president zelenskyy. vladimir putin said today that russia and ukraine managed to achieve what he called serious breakthrough during negotiations back in istanbul, but that the situation changed in his words dramatically following the allegations against russia, war crimes in bucha. does that make any sense to you? >> well, thank you for having me. actually, everything that is said from russian side never makes any sense to me. it is very difficult to negotiate with russia because russia behaves as a terrorist state, and they are changing their positions all the time. they are manipulating and it's really difficult to come up to some conclusion. >> was there progress in istanbul? i don't understand how he says that bucha would have changed any kind of situation. i mean, he's claiming obviously that what happened to bucha"
"1335",1335,"Anderson Cooper 360","February 25, 2022","Comcast Cable","friday. this is as civilians desperately sought to evacuate. what a scene that is. ukrainian troops receive add loud round of applause as they walked by. you can see that there. also, new satellite pictures showing the ukrainian border with romania -- traffic backed up for miles as many try to leave or continue as of last evening here in lviv, we were getting reports from the polish border saying traffic was backed up for 37 kilometers. now, the united nations says more than 50,000 ukrainian refugees have, already, fled the country. many of them, now seeking refuge in poland. also, moldova. alex, i know, there has been a lot going on. just bring us up to date. >> yeah, math -- michael, i will get to the fighting coming from all directions in just a second but we have just gotten word about the most significant"
"1401",1401,"Anderson Cooper 360","March 6, 2022","Comcast Cable","keytruda is used to treat more patients with advanced lung cancer than any other immunotherapy. keytruda may be used with certain chemotherapies as your first treatment if you have advanced nonsquamous non-small cell lung cancer and you do not have an abnormal “egfr” or “alk” gene. keytruda helps your immune system fight cancer, but can also cause your immune system to attack healthy parts of your body. this can happen during or after treatment and may be severe and lead to death. see your doctor right away if you have cough, shortness of breath, chest pain, diarrhea, severe stomach pain or tenderness, severe nausea or vomiting, headache, light sensitivity, eye problems, irregular heartbeat, extreme tiredness, constipation, dizziness or fainting, changes in appetite, thirst, or urine, confusion or memory problems, muscle pain or weakness, fever, rash, itching, or flushing. these are not all the possible side effects. tell your doctor about all your medical conditions including immune system problems, or if you've had an organ transplant, had or plan to have a stem cell transplant or have had radiation to your chest area or a nervous system condition. it feels good to be here for them. living longer is possible."
"1409",1409,"Anderson Cooper 360","September 15, 2022","Comcast Cable","why martha's vineyard? well, obviously it is a vacation spot for a lot of well-known democrats and liberal, including the obamas. last year, ted cruz introduced a bill that would transfer undocumented immigrants to 13 areas, many which are tony, and all of which are led by democrats, and it included martha's vineyard. we also know tucker carlson mentioned a similar idea on his broadcast earlier this year about how places like egger town on the island have zero diversity, which means zero strength in how they're, quote, begging for more diversity. he was being sarcastic, of course, playing on some of the same things that proponents of immigration often use, saying diversity makes the nation stronger. a top spokesperson for desantis got in on the act saying yesterday undocumented immigrants, quote, will increase the town's diversity, which is strength, right? now that's the political conversation, and we'll get to that in due time with our guests"
"1442",1442,"Anderson Cooper 360","January 18, 2022","Comcast Cable","it is, however, a critical investigative tool as the committee pieces together really a roadmap of who was communicating with whom before, during, and after january 6th. >> as mentioned before, the former president's one-time lawyers and advisers have also been subpoenaed. what is the committee hoping to learn from them? and any sense whether they will comply? >> i think the chances are slim to none of any four complying, maybe none to none. but the committee is making a record. they are -- they are saying these are critical witnesses and when you look at these four names, they are all involved in perpetuating the big lie. and at least two of them -- giuliani and boris -- were at the willard hotel on january 5th, the night before in that war room. we understand, communicating with then-president trump."
"1455",1455,"Anderson Cooper 360","May 6, 2022","","♪ (drum roll) ♪ ♪ (energetic music) ♪ ♪ ♪ ♪ ♪ (camera shutters) the all-new lx 600. ready for any arena. ♪ ♪   as we've been reporting tonight there are horrors and misery wrought by the russian forces. in the east of ukraine, however, the war is going far worse for russia. despite the hope of a reset after its failed attempts to take the capital kyiv. ukrainian officials say russian forces are stalled, despite heavy dom bardments."
"1472",1472,"Anderson Cooper 360","March 23, 2022","Comcast Cable","oakland, california. this is happening with president biden arriving in brussels for tomorrow's emergency nato summit. the president spoke to that earlier today. >> mr. president, how concerned are you about the threat of nuclear warfare right now, the use of chemical weapons? how high is that threat? >> i think it's a real threat. >> late tonight with world tension focused on the summit, president zelenskyy issued a call to action in english. >> this is only the beginning for russia on the ukrainian"
"1480",1480,"Anderson Cooper 360","May 5, 2022","Comcast Cable","equivalent to a cave on steroids. multiple levels, long passageways, steel and concrete constructions. all those things will hinder the russians communications, their maneuvering, their ability to get past obstacles that i'm sure the ukrainians have placed in there already. now if the ukrainian fighters can sustain themselves with ammo, food, and water, they'll be in pretty good position as the russians come into the cave and it will literally take, i'm betting hundreds or more russians to dislodge them from that underground complex that goes down six different levels. >> the steel plant i mean has been under constant bombardment for weeks now. we know there are civilians still inside the plant. russia has said that the humanitarian corridors are open, but only a few have actually been able to get out. what is the value, i mean vladimir putin said very publicly, we don't need to storm this plant. we'll just surround it, make sure nobody can get out and just"
"1489",1489,"Anderson Cooper 360","March 16, 2022","Comcast Cable","♪ at northwestern mutual, our version of financial planning helps you live your dreams today. find a northwestern mutual advisor at nm.com inner voice (kombucha brewer): as a new small business owner, i find it useful to dramatically stare out of the window... ...so that no one knows i'm secretly terrified inside. inner voice (sneaker shop owner): i'm using hand gestures and pointing... ...so no one can tell i'm unsure about my business finances. inner voice (furniture maker): i'm constantly nodding... ...because i know everything about furniture..."
"1504",1504,"Anderson Cooper 360","March 10, 2022","Comcast Cable","than we believed. to believe they worked as advertised probably is worth at least asking about. what you really need to do is get the hatches to pop somehow. the normal way that's done, and even our tanks going into baghdad, they could get swarmed. if the infantry is not around them, you could have a problem at some point in time. what you really want to do is get the molotov cocktail inside the tank turret. to do that, you have to get them off those hatches. and there are various ways. you can also perhaps, depending on how exposed the engine grates are, there are places that are flammable. against thin skinned vehicles, they can be devastating and there are other circumstances in which they can be revaluable. what you have to do is as we've seen, russians have been very poor at achieving combined arms"
"1531",1531,"Anderson Cooper 360","February 22, 2022","Comcast Cable","this is a flagrant violation of international law and it demands a firm response from the international community. we're implementing full blocking sanctions on two large russian financial institutions. veb and their military bank. we're implementing comprehensive sanctions on russian sovereign debt. starting tomorrow and continuing in the days ahead, we'll also impose sanctions on russia's elites can their family members. they share in the corrupt games of the kremlin policies and should share in the pain as well. >> senior administration official elaborated telling cnn, quote, this is the beginning of an invasion, and therefore, this is the beginning of our response. secretary of state blinken appearing alongside ukraine's foreign minister said thursday's meeting with his russian counterpart is off. he cancelled a meeting with sergei lavrov, saying russia has not been serious about diplomacy but left the door open if it might prevent all-out war."
"1541",1541,"Anderson Cooper 360","May 2, 2022","Comcast Cable","discover a simple way to use colors in managing diabetes!"
"1639",1639,"Anderson Cooper 360","March 31, 2022","Comcast Cable","seeing about the frustrations the russians are facing when it comes to strategy actually seeing on the ground, what he said today, he believes putin has been isolated by this, either firing or putting on house arrest the top advisers because of how poorly this is going for russia and how much it is going against what he believed they were going to do which is overthrow the government there, take kyiv in a few days and have this warm reception from ukrainians which reporting has shown is not happening. so this does confirm what u.s. intelligence is saying, the president did offer a caveat saying this isn't hard evidence, it's based on intelligence, not always a clear picture but a good insight and so far, the american intelligence on what putin was going to do has been pretty solid of course, when we saw coming to this invasion. also mirrors what our allies are hearing, you heard the british foreign secretary saying today russia is struggling, didn't know there were conscripts in"
"1657",1657,"Anderson Cooper 360","January 26, 2022","Comcast Cable","the supreme court -- lifetime appointments. and they make decisions that affect every single american. this is really important and so it's a teaching moment as well for people to understand what's at stake in elections, and what's -- what are the responsibilities that go along with being on the supreme court. and i hope everyone tunes in, everyone is engaged in this process. i look forward to having a very thorough review of the candidates. i think the process should not be jammed through the way president biden's predecessor did. it should be done in a thoughtful and serious way, where the public has an opportunity to see exactly what it is that president biden sees in this person, have open hearings, open debate, and hopefully a successful confirmation. >> valerie jaret, appreciate you tonight. thank you so much. >> you're welcome, anderson.   coming up next, a close friend of justice breyer, constitutional law scholar laurence tribe joins us. also, hook at confirmation hearings that have left an indelible mark on history and perhaps the court, as well."
"1658",1658,"Anderson Cooper 360","January 26, 2022","Comcast Cable","good evening. it isn't often one person paves the way for others to make history. justice stephen breyer's decision to step down from the supreme court does just that. formal announcement could come during a joint appearance with the president at the white house tomorrow and though it won't tilt the high court's ideological balance, justice breyer's departure allowed president biden to fulfill a cam pain promise that may change the face of it. tonight, for his first television interview on subject, we will be joined by house"
"1662",1662,"Anderson Cooper 360","March 24, 2022","Comcast Cable","this is vuity™, the first and only fda approved eye-drop that improves age-related blurry near vision. wait, what? it sounded like you just said an eye drop that may help you see up close. i did. it's an innovative way to... so, wait. i don't always have to wear reading glasses? yeah! vuity™ helps you see up close. so, i can see up close with just my eyes? uh-huh. with one drop in each eye, once daily. in focus? yep. [laughs] like, really? really. vuity™ is a prescription eye drop to help you see up close. ow! wait, what? wait. wait? wait, what? see for yourself. use vuity™ with caution in night driving and hazardous activities in poor light. also, if your vision is not clear, do not drive or use machinery. contact your doctor immediately if you have sudden vision loss. most common side-effects are headache and eye redness. ♪ ♪"
"1688",1688,"Anderson Cooper 360","March 21, 2022","Comcast Cable","like a dedicated office space with wi-fi for you to stay focused. hard wired internet outlets for more gaming. an oversized pantry? yes. with more space to fit everything. or, just enjoy more outdoor living. at pulte, we build homes that think ahead to tomorrow, so you can build the life you're dreaming of today. pulte homes. more life, built in. with unitedhealthcare medicare advantage plans..."
"1691",1691,"Anderson Cooper 360","April 13, 2022","Comcast Cable","charging his phone. they asked him for his phone number. he said, i have a new phone. then he disappeared. police went out on the hunt for him. patrol officers arresting the suspect walking the streets in new york city's east village today. after sources say he actually called in a tip leading police to his general location. >> he was taken into custody without incident. has been transported to an nypd facility. we hope this arrest brings some solace to the victims and the people of the city of new york. >> reporter: the 62-year-old talked about violence and mass shootings in multiple rambling videos posted on youtube. including this one uploaded monday. >> i have been through a lot of [ bleep ]. i can say i wanted to kill people. i wanted to watch people die in front of my [ bleep ] face immediately. but i thought about the fact that i don't want to go to no [ bleep ] prison. >> reporter: he said he has ptsd"
"1704",1704,"Anderson Cooper 360","February 18, 2022","Comcast Cable","at intra-cellular therapies, we're inspired by our circle. a circle that includes our researchers, driven by our award-winning science, who uncover new medicines to treat mental illness. it includes the compassionate healthcare professionals, the dedicated social workers, and the supportive peer counselors we work with to help improve - and even change - people's lives. moving from mental illness to mental wellness starts in our circle. this is intra-cellular therapies. we just moved. so there's millions of - dahlias in bloom. over nine acres. when we started, we grew a quarter of an acre. now i'm taking on new projects on the regular. we always dreamed of having this property, so - i want to make my yard look as beautiful as butters, here. butters. how are you doing over there? we do both vegetables and large mouth bass. yep. we've got tons of them, don't we, buddy? there are millions of ways to make the most of your land."
"1705",1705,"Anderson Cooper 360","February 18, 2022","Comcast Cable","botox® prevents headaches in adults with chronic migraine before they even start, with about 10 minutes of treatment once every 3 months. so, ask your doctor if botox® is right for you, and if a sample is available. effects of botox® may spread hours to weeks after injection causing serious symptoms. alert your doctor right away, as difficulty swallowing, speaking, breathing, eye problems, or muscle weakness can be signs of a life-threatening condition. side effects may include allergic reactions, neck and injection site pain, fatigue, and headache. don't receive botox® if there's a skin infection. tell your doctor your medical history, muscle or nerve conditions and medications, including botulinum toxins, as these may increase the risk of serious side effects. in a survey, 92% of current users said they wish they'd talked to their doctor and started botox® sooner. plus, right now, you may pay zero dollars for botox®. ask your doctor about botox® today. stuff. we love stuff. and there's some really great stuff out there. but i doubt that any of us will look back on our lives and think,"
"1718",1718,"Anderson Cooper 360","March 21, 2022","","surveillance or airplane surveillance footage what they say were rockets being fired from nearby, a mall in kyiv. whether or not, we can't determine exactly what is happening in the video. reached out to ukrainian forces. the very fact russia is able to have eyes on a block-by-block area in kyiv is got to be of great concern to ukrainians. given the amount of fortification they have been putting in, and interesting to hear from sam kylie sort of on the ground concern, legitimate pai paranoia, forward observers on the ground, inside kyiv already? >> yes. they've had infiltration inside ukraine for years. russian agents in there. russians always had agents two, three deep. one known, one working none known and another hasn't been activated at all."
"1719",1719,"Anderson Cooper 360","January 24, 2022","Comcast Cable","you could wait... all night... for an email response from steve, who will sign back in at 9 am tomorrow morning. orrrr... you could find the answer right now in slack. and give steve a break. slack. where the future works. with my hectic life you'd think retirement would be the last thing on my mind. thankfully, voya provides comprehensive solutions and shows me how to get the most out of my workplace benefits. voya helps me feel like i've got it all under control. voya. well planned. well invested. well protected. we're carvana, the company who invented car vending machines and buying a car 100% online. now we've created a brand-new way for you to sell your car. whether it's a year old or a few years old."
"1721",1721,"Anderson Cooper 360","March 30, 2022","Comcast Cable","a new satellite photo of a damaged red cross warehouse in mariupol. the building is clearly marked from the sky. it was hit by at least two separate strikes. just ahead of the program tonight we'll talk to cindy mccain, head of the food and agriculture administrations in rome. we begin with christiane amanpour in kyiv. what is the latest there tonight? >> reporter: there's no sign kyiv is under assault but there has been a lot of fighting on the outskirts including the little town of bovary which has been hit twice in the last week and i was there just earlier today. >> reporter: missiles have struck the town 234 a suburb of eastern kyiv twice in a week alone. this tangled jagged mass of metal is what's left of a massive warehouse that served"
"1774",1774,"Anderson Cooper 360","May 2, 2022","Comcast Cable","the our, the massive steel plant more than a hundred people were said to be able to evacuate sunday before intense russian' shelling put end to those efforts. joining us from szaporizhzhia i nick paton walsh, what did you see? what can you tell us? >> yeah. i mean, sure, anderson, it is dmeks because during the day, we have seen slow drip of people from mariupol who over the past days and weeks have managed to make it here but great raised by zelenskyy yesterday saying people would tart to leave mare yoep i don't knowle as part of the united nations' red cross every time at 8:00 a.m. that does appear to have koerked. they have left it seems the city but they have not got here to the safety of ukrainian-held territory. here are are some of the scenes we have seen over the last 24 to"
"1790",1790,"Anderson Cooper 360","August 24, 2022","Comcast Cable","the government, and capture kyiv in a matter of days. his 24th and february innovation officially to free the country from nazis and stop it from joining nato, met ferocious ukrainian resistance from day one. assault convoys to the capitol were stalled and attacked. russian troops driven back from kyiv, fell upon citizens in irpin and bucha. their atrocities, revealed as they were forced out, leaving misery and murder in their wake. soon, russians turned their guns on civilians across the country. as the kremlin's tactics switched from replacing ukraine 's rulers to breaking its people. railway stations, residential blocks, hospitals, even a"
"1791",1791,"Anderson Cooper 360","August 24, 2022","Comcast Cable",">> you mentioned last night special election night in new york's 19th district, which is a district that biden won by a point and a half. all the sudden, you see the democrat there pat ryan winning by two points. it is not the only special election last night. there's also a special election"
"1795",1795,"Anderson Cooper 360","March 23, 2022","","felt they didn't have a chance. one of the things he said they had seen with the training they got with the americans really helps them. they say what they do now is they don't just fly to try to go up and get the russians. they analyze everything. they come up with a strategy. they don't get pulled into moves. they doll feel more and more sure. however, of course, one of the things we have to point out, the russians have a lot more planes, a lot more modern planes. and there is big attrition among the ukrainian air force as well. while they hold up now, they say it's not something that's going to go on forever unless of course they get some kind of help. we've been talking about, the u.s. has been talking about a no fly zone is not something in the cards. the biden administration has pointed that out. but the ukrainians have said"
"1796",1796,"Anderson Cooper 360","April 28, 2022","Comcast Cable","at any time without the unnecessary fees. we'll help you go from saving... to living. ♪ play all day ♪   over the last two months we've gotten to know a mom here in kyiv named olena gnes. we've spoken many times over satellite, as they've been living, for the most part, in a basement shelter, while their father, sergey, fights the war. oli na has been documenting what life has been like from them. we've learned so much from her and her family at a distance over an internet connection. today for the first time i got to meet her and her kids face to face. here's more of our conversation. so, for now you spend days here but at night you go back to the basement. >> yeah, exactly. yes. yes."
"1818",1818,"Anderson Cooper 360","October 24, 2022","Comcast Cable","tonight. there's new cnn polling of likely voting in two key senate races in wisconsin and pennsylvania. wisconsin showing no clear leader in the showdown between incumbent republican ron johnson and democrat mandela barnes. pennsylvania with document lieutenant governor fetterman narrowly ahead of mehmet oz. we learned late today that former president obama will be campaigning there along with president biden on the final weekend before election day. a party official familiar with the planning telling cnn they've got appearances scheduled for pittsburgh and philadelphia with the possibility of adding more. early voting is under way there and in 38 other states. so far turnout has been heavy on pace with the record 2018 midterms with nearly 7.3 million ballots already cast. with it, we've already seen multiple reports of voter intimidation, including two armed men dressed in tactical gear sported at a ballot drop box in mesa, arizona, friday night. attorney general merrick garland was asked about it this"
"1834",1834,"Anderson Cooper 360","March 3, 2022","Comcast Cable","where to shove it, echo here. >> [ bleep ]. >> russian ship [ bleep ] you. it's the logo now in ukraine. >> reporter: they'll need more than high spirits in the days ahead. >> nick paton walsh joins us now from odesa. i mean, that mom, you know, it's just -- i mean, listening to her, you know, she's -- she just wants to protect her kids and yet she's proud of them of course for fighting. and she's, you know, telling putin where to go. i mean, it's just extraordinary. there are so many moms like that. you know, we see them here in lviv. we see them in kyiv. we see them everywhere. and probably there are moms like that in russia who are sick that their sons are in that convoy or foot soldiers in this war that, you know, they don't even want."
"1854",1854,"Anderson Cooper 360","March 25, 2022","Comcast Cable","weapons. and even for training, the ones i was with, you know, some of the -- like a local gun collector had given them a bunch of old weapons to just train with. they were using -- one of them had a tommy gun from the 1930s. what were the kind of supplies that your folks have? >> you know, so, we were more southwest, and all these weapons appeared to be issued. they were all newer condition, all the same ak-47s or ak-74s or aks. in that same vein of what you said, they want to practice with something. some had weapons. they had their hands up and bang bang. but one particular member brought a air soft gun, and we told him, hey, this is not a game. don't bring a toy. we're bringing for real. there's russians in your country right now. >> it's -- it's -- you know, it's always fascinating when -- and i think important when --"
"1903",1903,"Anderson Cooper 360","January 26, 2022","Comcast Cable","also a look at hearings that have left an indelible mark on history and perhaps the court as well. >> from my standpoint, as a black american, as far as i'm concerned, it is a high-tech lynching for uppity blacks who in any way dane to think for themselves. >> later, senator chris murphy who traveled to ukraine, on where things stand now as the administration delivered its written reply to russia's demands. like what if i give you a lollipop... then i give you our best lollipop. that's not fair. at at&t we think it's only fair that all customers get our best deals... ...and you get a choice of plans. she said everyone? it's not complicated. only at&t gives both new & existing customers our same best deals, like up to $800 off our most popular smartphones. new vicks convenience pack. dayquil severe for you... and daily vicks super c for me. vicks super c is a daily supplement with vitamin c and b"
"1905",1905,"Anderson Cooper 360","March 24, 2022","Comcast Cable","believes taking the capitol of kyiv remains russia's main goal, but the city's mayor, former world champ vows putin's troops will not enter this town. we met the mayor and his brother vladimir in a secret location in kyiv. >> do you think you have what it takes to fend them off completely and that this city will not be taken by russia? >> it's our hometown. we will -- we don't want to be slaves. we don't want ussr to live in our territory. we see it as modern. democratic. >> the klitschkos are on the move constantly. putin says he's only targeting"
"1918",1918,"Anderson Cooper 360","September 27, 2022","Comcast Cable","braced for the hurricane to make landfall. now expected the first forecast, and further south. in some parts, ian is already being felt. the situation will deteriorate throughout the night. authorities are warning that some areas will see more than two feet of rain. right now, more than two and a half million people are under some form of evacuation warning. and as of this hour, officials warn that time is fast running out to leave. >> you still have time to do. it you do not have to evacuate hundreds of miles. obviously if you have friends, family, some of, that that's preferable. but as a last resort, the shelters are open. and i would just urge people to take advantage of that. it's, i know it's not easy sometimes to leave your home. and i know that people want to not want to see something bad happened when they get. back but stakes are high. this is a very powerful storm. >> cnn meteorologist pedram javaheri is tracking the storm. with us but let's start with their van dam in clearwater, florida. derek, where and when it will"
"1922",1922,"Anderson Cooper 360","October 10, 2022","Comcast Cable","against this officer. it's quite a turn because initially 17 year old eric was charged with evading arrest and assaulting a police officer. those charges against the teenager have since been dropped. ed lavandera, thank, you we appreciate it. coming up, russia launches its heaviest airstrikes today since it started the war. elief with more concentrated power. because the only thing dripping should be your style! plop plop fizz fizz, winter warriors with alka-seltzer plus. this is going to be great. taking the shawl off. i did it. is he looking at my hairline? my joint pain isn't too bad. well, it wasn't this morning. i hope i can get through this. is plaque psoriasis or psoriatic arthritis making you rethink your everyday choices? otezla is a pill, not a cream or injection that can help people with plaque psoriasis achieve clearer skin. otezla is proven to reduce joint swelling,"
